# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
  125       4.643369837969e-10       1.417961608279e-13       1.279027984474e-12       1.279027984474e-11      -5.098540718528e-12       6.680182390105e-16       5.932233110529e-12       9.519799951668e-13      -5.786346261136e-15 
  126       4.688342232307e-10       1.426910918079e-13       1.299492432226e-12       1.299492432226e-11      -5.164727841725e-12       6.580982356437e-16       5.803613764253e-12       9.357460976355e-13      -5.700830868677e-15 
  127       4.733375028603e-10       1.435258932273e-13       1.320119296229e-12       1.320119296229e-11      -5.229160550721e-12       6.481042604437e-16       5.678528685411e-12       9.198857404866e-13      -5.615297543278e-15 
  128       4.778452588864e-10       1.442995495817e-13       1.340908576485e-12       1.340908576485e-11      -5.291765421256e-12       6.380472134372e-16       5.556689931695e-12       9.043694316382e-13      -5.531011322276e-15 
  129       4.823559819239e-10       1.450111347091e-13       1.361860272993e-12       1.361860272993e-11      -5.352470368098e-12       6.279377761105e-16       5.437837630847e-12       8.891706720950e-13      -5.449064473766e-15 
  130       4.868687526515e-10       1.456599511325e-13       1.382974385752e-12       1.382974385752e-11      -5.411208828449e-12       6.177855134869e-16       5.321935051130e-12       8.742873269434e-13      -5.369611961388e-15 
  131       4.913827597909e-10       1.462454086623e-13       1.404250914764e-12       1.404250914764e-11      -5.467916091647e-12       6.075996621484e-16       5.208993494552e-12       8.597224338472e-13      -5.292554237174e-15 
  132       4.958971313863e-10       1.467669832712e-13       1.425689860027e-12       1.425689860027e-11      -5.522528046714e-12       5.973893992220e-16       5.099011152904e-12       8.454774991194e-13      -5.217774459793e-15 
  133       5.004109331767e-10       1.472242187795e-13       1.447291221543e-12       1.447291221543e-11      -5.574981219414e-12       5.871638345477e-16       4.991972743962e-12       8.315524538349e-13      -5.145138073002e-15 
  134       5.049231669692e-10       1.476167285400e-13       1.469054999310e-12       1.469054999310e-11      -5.625212809315e-12       5.769320028465e-16       4.887849147700e-12       8.179456099430e-13      -5.074492384102e-15 
  135       5.094327690115e-10       1.479441971242e-13       1.490981193330e-12       1.490981193330e-11      -5.673160726848e-12       5.667028558886e-16       4.786597042488e-12       8.046536163809e-13      -5.005666142392e-15 
  136       5.139386083650e-10       1.482063820075e-13       1.513069803601e-12       1.513069803601e-11      -5.718763630365e-12       5.564852546607e-16       4.688158541306e-12       7.916714151857e-13      -4.938469117620e-15 
  137       5.184394852773e-10       1.484031152543e-13       1.535320830125e-12       1.535320830125e-11      -5.761960963205e-12       5.462879615347e-16       4.592460827946e-12       7.789921976076e-13      -4.872691678439e-15 
