# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:TB                    10:EB                 
   83       2.930828529001e-10       6.943211104398e-14       5.661830544606e-13       5.661830544606e-12      -1.672500595114e-12       1.176224079937e-15       1.738772487323e-11       2.264106240047e-12      -1.095512214558e-14 
   84       2.966040873265e-10       7.146339056557e-14       5.798260196248e-13       5.798260196248e-12      -1.749074065770e-12       1.185402161163e-15       1.687579352856e-11       2.208068697406e-12      -1.106331150194e-14 
   85       3.001559322878e-10       7.350201032647e-14       5.936314010403e-13       5.936314010403e-12      -1.826596937375e-12       1.194229879787e-15       1.638221085688e-11       2.153913942800e-12      -1.111923304474e-14 
   86       3.037391310699e-10       7.554667454544e-14       6.075991987076e-13       6.075991987076e-12      -1.905038305803e-12       1.202710272300e-15       1.590694903101e-11       2.101643926001e-12      -1.112509488715e-14 
   87       3.073542057919e-10       7.759608484720e-14       6.217294126273e-13       6.217294126273e-12      -1.984367750203e-12       1.210847048558e-15       1.544976629607e-11       2.051237413945e-12      -1.108355907489e-14 
   88       3.110014456178e-10       7.964894158582e-14       6.360220428003e-13       6.360220428003e-12      -2.064555406206e-12       1.218644600524e-15       1.501019810078e-11       2.002649017946e-12      -1.099775689412e-14 
   89       3.146808949695e-10       8.170394516815e-14       6.504770892274e-13       6.504770892274e-12      -2.145572039140e-12       1.226108011010e-15       1.458754822877e-11       1.955808220927e-12      -1.087130417939e-14 
   90       3.183923417395e-10       8.375979737720e-14       6.650945519094e-13       6.650945519094e-12      -2.227389117237e-12       1.233243062425e-15       1.418087992985e-11       1.910618404638e-12      -1.070831662151e-14 
   91       3.221353055027e-10       8.581520269557e-14       6.798744308472e-13       6.798744308472e-12      -2.309978884851e-12       1.240056245515e-15       1.378900705134e-11       1.866955876879e-12      -1.051342507550e-14 
   92       3.259090257297e-10       8.786886962884e-14       6.948167260420e-13       6.948167260420e-12      -2.393314435666e-12       1.246554768111e-15       1.341048516935e-11       1.824668898723e-12      -1.029179086849e-14 
   93       3.297127390586e-10       8.991941347166e-14       7.099214374942e-13       7.099214374942e-12      -2.477362522509e-12       1.252746156661e-15       1.304395432004e-11       1.783614808021e-12      -1.004861737766e-14 
   94       3.335465844188e-10       9.196504500305e-14       7.251885652026e-13       7.251885652026e-12      -2.562060590756e-12       1.258636973294e-15       1.268924542120e-11       1.743779889673e-12      -9.787567485034e-15 
   95       3.374108128773e-10       9.400383719983e-14       7.406181091649e-13       7.406181091649e-12      -2.647336410038e-12       1.264233921073e-15       1.234642463348e-11       1.705175819173e-12      -9.512135303059e-15 
   96       3.413055029940e-10       9.603381959311e-14       7.562100693790e-13       7.562100693790e-12      -2.733115003729e-12       1.269544237122e-15       1.201545259940e-11       1.667802728894e-12      -9.226136977829e-15 
   97       3.452305530015e-10       9.805297823881e-14       7.719644458424e-13       7.719644458424e-12      -2.819318622453e-12       1.274575695780e-15       1.169618040094e-11       1.631648758248e-12      -8.933719082365e-15 
   98       3.491856729860e-10       1.000592556882e-13       7.878812385524e-13       7.878812385524e-12      -2.905866717597e-12       1.279336611757e-15       1.138834551727e-11       1.596689603858e-12      -8.639367009907e-15 
   99       3.531703770675e-10       1.020505509583e-13       8.039604475062e-13       8.039604475062e-12      -2.992675914813e-12       1.283835843287e-15       1.109156778232e-11       1.562888069712e-12      -8.347913367211e-15 
  100       3.571839755800e-10       1.040247195028e-13       8.202020727007e-13       8.202020727007e-12      -3.079659987531e-12       1.288082795280e-15       1.080534534250e-11       1.530193617333e-12      -8.064546367845e-15 
  101       3.612255672519e-10       1.059795731819e-13       8.366061141326e-13       8.366061141326e-12      -3.166729830466e-12       1.292087422480e-15       1.052905061433e-11       1.498541915943e-12      -7.794818225479e-15 
  102       3.652940313869e-10       1.079128802337e-13       8.531725717984e-13       8.531725717984e-12      -3.253793433127e-12       1.295860232621e-15       1.026192624209e-11       1.467854392623e-12      -7.544653547184e-15 
  103       3.693880200436e-10       1.098223652438e-13       8.699014456945e-13       8.699014456945e-12      -3.340755853322e-12       1.299412289572e-15       1.000308105546e-11       1.438037782481e-12      -7.320357726724e-15 
  104       3.735062527887e-10       1.117058139964e-13       8.867927358187e-13       8.867927358187e-12      -3.427525313407e-12       1.302754698925e-15       9.751692099794e-12       1.409005737159e-12      -7.127163013989e-15 
  105       3.776484631433e-10       1.135614042196e-13       9.038464421769e-13       9.038464421769e-12      -3.514032483947e-12       1.305896978780e-15       9.507650514940e-12       1.380747943636e-12      -6.964624963807e-15 
  106       3.818145660046e-10       1.153874196716e-13       9.210625647775e-13       9.210625647775e-12      -3.600213767735e-12       1.308848473730e-15       9.270995775293e-12       1.353269547212e-12      -6.830616866970e-15 
  107       3.860043620503e-10       1.171821503602e-13       9.384411036295e-13       9.384411036295e-12      -3.686005449969e-12       1.311618850281e-15       9.041715652051e-12       1.326569722002e-12      -6.722728958147e-15 
  108       3.902175332441e-10       1.189438936663e-13       9.559820587426e-13       9.559820587426e-12      -3.771343739050e-12       1.314218094319e-15       8.819744435398e-12       1.300641463500e-12      -6.638260739681e-15 
  109       3.944536383407e-10       1.206709554661e-13       9.736854301273e-13       9.736854301273e-12      -3.856164807368e-12       1.316656508575e-15       8.604961156693e-12       1.275471381142e-12      -6.574213305394e-15 
  110       3.987121083915e-10       1.223616512552e-13       9.915512177948e-13       9.915512177948e-12      -3.940404832095e-12       1.318944710098e-15       8.397187810661e-12       1.251039490870e-12      -6.527281664388e-15 
  111       4.029922422495e-10       1.240143072707e-13       1.009579421757e-12       1.009579421757e-11      -4.024000035977e-12       1.321093627712e-15       8.196187577576e-12       1.227319007692e-12      -6.493847064845e-15 
  112       4.072932020752e-10       1.256272616148e-13       1.027770042026e-12       1.027770042026e-11      -4.106886728123e-12       1.323114499490e-15       8.001663045451e-12       1.204276138252e-12      -6.469969317829e-15 
